,accuracy,precision(macro),precision(micro),recall(macro),recall(micro),f1_score(macro),f1_score(micro)
Decision Tree (TFIDF/Uni-bi-trigram),95.92%,0.959,0.959,0.959,0.959,0.959,0.959
Decision Tree (TFIDF/Uni-bigram),95.60%,0.956,0.956,0.956,0.956,0.956,0.956
Decision Tree (TFIDF/Unigram),92.81%,0.928,0.928,0.928,0.928,0.928,0.928
Linear SVC (TFIDF/Uni-bi-trigram),95.87%,0.959,0.959,0.959,0.959,0.959,0.959
Linear SVC (TFIDF/Uni-bigram),96.04%,0.960,0.960,0.960,0.960,0.960,0.960
Linear SVC (TFIDF/Unigram),96.04%,0.960,0.960,0.960,0.960,0.960,0.960
Linear SVC (TFIDF/Unigram/Regularization),87.27%,0.873,0.873,0.873,0.873,0.873,0.873
Logistic Regression (TFIDF/Uni-bi-trigram),93.73%,0.937,0.937,0.937,0.937,0.937,0.937
Logistic Regression (TFIDF/Uni-bigram),93.62%,0.936,0.936,0.936,0.936,0.936,0.936
Logistic Regression (TFIDF/Unigram),94.27%,0.943,0.943,0.943,0.943,0.943,0.943
Multinomial naive bayes (TF/Uni-bigram/Smoothing),92.44%,0.931,0.924,0.923,0.924,0.924,0.924
Multinomial naive bayes (TF/Unigram/NoSmoothing),92.06%,0.923,0.921,0.920,0.921,0.920,0.921
Multinomial naive bayes (TF/Unigram/Smoothing),89.75%,0.907,0.897,0.897,0.897,0.897,0.897
Multinomial naive bayes (TFIDF/Uni-bi-trigram/Smoothing),75.46%,0.831,0.755,0.761,0.755,0.742,0.755
Multinomial naive bayes (TFIDF/Uni-bigram/Smoothing),80.94%,0.861,0.809,0.808,0.809,0.802,0.809
Multinomial naive bayes (TFIDF/Unigram/NoSmoothing),91.83%,0.921,0.918,0.918,0.918,0.918,0.918
Multinomial naive bayes (TFIDF/Unigram/Smoothing),81.98%,0.865,0.820,0.818,0.820,0.813,0.820
SGDC (TFIDF/Uni-bi-trigram),95.46%,0.955,0.955,0.954,0.955,0.955,0.955
SGDC (TFIDF/Uni-bigram),95.65%,0.957,0.957,0.957,0.957,0.957,0.957
SGDC (TFIDF/Unigram),95.56%,0.956,0.956,0.956,0.956,0.956,0.956
